,Title,Company,Location,Salary,Details
482,"Senior Software Engineer, iOS",AirAsia,"Bellandur, Bengaluru, Karnataka",,
483,Business Auditor - Investment Banking,Société Générale,"Bengaluru, Karnataka",,"Client audit engagements, which include planning executing, directing, and completing business / financial audits. Good knowledge of business process, operational process related to banking and capital markets. Ability to review the processes such as desk reviews, trade booking, middle-office & back-office processes, etc. Experience in Banking operations with focus on Corporate & Investment Banking, Trade Services, and Securities Business. Experience working in Banking and Capital Markets and good knowledge about various regulations impacting capital markets such DFA, EMIR, etc. A strong understanding of principles of risk management with a thorough understanding of internal control systems including IT controls. Responsible for client management, research and gather information, resolve problems, and make recommendations for business and process improvements. Review the evidence of audit conclusions are ensure they are well-documented. Communicate assigned tasks to engagement team in a manner that is clear and concise and ensure the deliverables are of high quality, accurate, and efficient Dedicate focus on professional growth and take on more challenging assignments, in line with standard audit career progression Updates job knowledge by being aware of new regulations; participating in educational opportunities; reading professional publications; maintaining personal networks; participating in professional organizations Participate on annual risk assessment and audit planning Quality initiatives within audit function Working on Integrated audit Monitoring audit recommendations Statutory and regulatory norms applicable to banking business Fluent Command over English language Execute all audits in accordance with professional standards. Assists audit management in preparation & execution of the audit plan Prepares Audit work program and understands the specific risks to be evaluated. Performs evaluation of internal controls, testing of processes Performs reviews of major financial and operational processes Perform tests on the effectiveness of the Internal control environment within SG. Maintains clear work papers and audit trail of the work done in the appropriate tool Write formal & clear reports to communicate audit results to management Makes appropriate recommendations to improve SG processes Timely issuance of the audit reports Follow-up recommendations issued timely and escalate when needed Acquire knowledge on activities and risks during assignments and via trainings"
484,Full Stack Developer,NE Nokia Enterprise,"Bengaluru, Karnataka",,"Expertise in developing micro service based REST APIs and exposure to API gateway Expertise in server side programming using Spring Framework - Core, Messaging, Transform, Security modules Experience in developing visualizations including visual analytics; real-time visualization of IOT devices; visualizations for interactive data exploration; narrative / editorially-guided visualizations; time series analysis methods Expert level programming knowledge in ReactJS/ AngularJS, websockets, Charts, Map, Data Grids, Nodejs and NPM modules Knowledge of SQL ( Oracle/ Maria DB) / NO SQL data bases ( Cassandra, Redis etc) Experience in developing high performance, distributed and scalable applications on Container deployment( Docker and Kubernetes) Knowledge in Messaging and streaming frameworks like - RabbitMQ / Kafka messaging APIs and push notifications is plus Familiarity with Continuous Integration and DevOps methodologies and tools chain – e.g. Jenkins, Cucumber, automated unit/functional testing tools 3-5 Year experience Engineering Degree in CSE/IT/ECE or equivalent"
485,Software Engineer (Java),iManage,"Bengaluru, Karnataka",,"Taking ownership and seeing a project through the full SDLC and production maintenance Architecting, developing, implementing, and delivering quality software into an externally facing client product Collaborating with the engineering manager, product owners, and technical specialists to help deliver our roadmap Having the ability to shift gears, prioritize & work effectively in an agile environment Adhering to good development practices with an engineering mindset A Bachelor's or Master’s degree in Computer Science or related field 2-3+ years of extensive experience with Java Worked with large complicated software systems and architecture Consumed and contributed to the design of RESTful interfaces Experience building and designing scalable and performant systems and making significant contributions to the wider engineering goals of the product Exposure in an agile environment An interest in learning new concepts and technologies Familiarity with one other high-level modern programming languages like Scala or Python"
486,Cyber Security Lead,FICO,"Bengaluru, Karnataka",,"Conduct both internal and external risk assessments to understand and communicate effectiveness of all controls associated with industry-mandated regulations. Work on risk initiatives to ensure operational effectiveness with applicable laws and regulations, as well as internal policies and procedures. Participate in the development and implementation of new business initiatives to ensure functionality required to support reduction of risk to FICO and FICO Client data. Provide guidance to business functions on risk/security-related matters. Coordinate assessment-related tasks to ensure the readiness of managers and their teams for audit testing and facilitate the timely resolution of any audit findings. Review Risk Exceptions and recommend solutions to reduce risk. Participate in review processes to align Cyber Security initiatives with risk treatment plans. Provide metrics and reporting on progress of Governance, Risk and Compliance activities. Master’s degree in the field of Information Security, Computer Science or highly related program. Demonstrated ability to apply IT-related knowledge and experience in solving compliance issues. Understanding and experience with ISO 27001 & PCI DSS. Experience or understanding of governance, risk and compliance (GRC) processes and solutions. Experience in information security and risk assessments. Desired certifications: PCIP, ISA/QSA, CISSP, CISA, CISM, and related GIAC. Background in security controls, auditing, network and system security. Ability to express technical concepts in business terms. Able to work well under deadlines in a changing environment and complete multiple projects effectively and concurrently. Evaluate effectiveness of the internal security control framework and recommend adjustments as business needs change. Regularly interact with all levels of management to present and discuss audit results and obtain gap remediation status. Perform periodic security risk assessments and advise business stakeholders on best practices to reduce risk and overall breach profile. 3-5 years’ experience leading a team of security professionals. A culture and work environment strongly reflecting our core values: Act Like an Owner, Delight Our Customers and Earn the Respect of Others. The opportunity to make a difference by leveraging your unique strengths. Highly competitive compensation and rewards. Flexible work options, opportunities to give back to your community, social events with colleagues and a comprehensive benefits program inclusive of progressive parental leave. Credit Scoring — 150+ billion FICO Scores have been sold to date, making it the most used credit score in the world. Fraud Detection and Security — 2.6+ billion payment cards globally are protected by FICO fraud systems. Lending — 3/4 of US mortgages are approved using the FICO Score. Anti-Money Laundering — our solutions check more than half a billion transactions a day to prevent criminal schemes such as terrorist financing"
487,Senior Full Stack Engineer,Bloom Consulting Services,"Bengaluru, Karnataka",,"Design & Architect: Participate in the research, design and prototype phase of all next generation product features. Ability to switch gears, investigate new technologies especially in the areas of AR, iOT and AI technologies, design and develop rapidly to contribute to our product roadmap. Code : Take on end to end feature development for the product, developing innovative features collaboratively with teams in India and USA, be part of product release cycle and be able to code in all aspects of the code base from UI, application stack to database. Learn : Believe in staying at the top of the game and have an appetite for seeking improvement and sharing knowledge across the company. Micro-services & APIs - Develop highly performance micro-services based APIs which powers our critical product engine. User Interfaces – Design and develop intuitive, responsive and efficient interfaces for our web and mobile applications. Data – Develop and maintain our data layer which involves data integrations, analytics, dashboards and data related to the AI engine. Testing – Build distributed testing tools to maintain the high quality product. Dev Ops – Build and maintain systems to manage product releases, collaborate with dev ops team to manage cloud environment and automate client configurations. You have a B.Tech/M.Tech/M.S in Computer Science or related field. Have 5-8 years of professional software development. Extensive background in algorithms and experience in designing end to end applications. Expertise with backend first languages, such as Java, Scala, Python etc. Experience in mobile frameworks and mobile programing (Android and iOS) Expertise with frontend technologies like HTML/CSS/Javascript and frameworks like AngularJS/Angular2/ReactJS. Demonstrated design and UX sensibilities are a must! Experience or Exposure to Augmented Reality, Artificial Intelligence is a huge plus Knowledge of AR platforms like Vuforia, Wikitude, Metaio, DeepAR, ARToolkit Previous experience with Play Framework, Redis, AWS, MySQL, Cassandra, Solr, or the open source community at large is a big plus. Java Scala Python mobile frameworks mobile programing HTML/CSS/Javascript AngularJS/Angular2/ReactJS Vuforia Wikitude Metaio DeepAR ARToolkit Play Framework Redis AWS MySQL Cassandra"
488,Specialist-Market Risk& Pnl,Société Générale,"Bengaluru, Karnataka",,"Work with Shared Services and IT to identify and fix P&L problems for analysis Assist with price verification of various types of financial products Work on ad-hoc projects for Product Control Group. Process various products including various cash securities and derivative products including; Equity, OTC & FX Options, TRS, CDS, CDX, synthetic CDO's, MBS, Bank Debt, Debt Good understanding of accounting for various products of an investment bank Experience in working on certification process Demonstrate good organisational and Team management skills Demonstrate Effective problem solving and analytical skill Orientation to detail, pro-active, critical thinking"""
489,Specialist SE - Functional Security Expert,Société Générale,"Bengaluru, Karnataka",,"To supporting the IT projects of the central departments and the BSC in order to identify the business issues of information protection and the associated security requirements. To carry out risk analyses and to identify remediation plans To present residual risks to the various project stakeholders for acceptance. 5 years of experience in the field of IT security CL - 8 Be able to understand architecture issues in order to develop security policies or relevant recommendations on applications and projects. It is imperative to be able to discuss on an equal footing with the community of architects and project managers of the applications concerned. Knowledge of the job of IT application project manager. The expert's interlocutors are generally IT project managers. It is necessary to know their constraints, their ways of working, to understand their vocabulary. Implement improvements on process documents. Prepare documentation as and when required on technical subject related to Security. Basic awareness of any of digital technologies and Understanding of functional domain and business processes . Soft Skill : Should have : Education : B.Tech or equivalent degree in IT/Computer science. Cyber Security or Information Technology stream Security Certificate such as CEH, GISF, SSCP, CISSP Worked on Risk Analysis and Security Recommendation. DB Security Testing. Development knowledge. Worked in SDLC. Expertise in development of Rest web services and APIs Experience in working on projects in Agile Methodology French Language – A2 DELF certified. Writing and Speaking skills."
490,Sales Executive,Infimind Institute of Skill Development,"Bengaluru, Karnataka","₹8,000 - ₹15,000 a month","Bachelor's (Preferred) Bengaluru, Karnataka (Preferred) No"
491,Sr Front End Developer - Remote,"Agiloft, Inc","Bengaluru, Karnataka","₹2,238 an hour","Agiloft was named the market leader in every category in the Gartner Critical Capabilities for CLM report, and a market leader in the Gartner Magic Quadrant. Contract Lifecycle Management (CLM) is one of the fastest growing areas of enterprise sales, with a TAM projected to climb from $2B to $7B in the next 5 years.  The Agiloft Contract and Commerce Lifecycle Platform has won over a dozen awards, including the Editor's Choice award from PC Mag, for the past five years in a row.  Agiloft has a highly differentiated value proposition which is uniquely appealing to enterprises: pre-built applications with a deeply configurable, no-code platform for integrated Business Process Management throughout an organization.   Agiloft is pioneering the applied use of Artificial Intelligence to enable next-generation business commerce at organizations ranging from small enterprises to U.S. government agencies and Fortune 100 companies.  Agiloft is the only company in the industry with the confidence to provide an unconditional satisfaction guarantee, and you too will be successful with Agiloft.  Design, build, and maintain efficient, reusable, and reliable front-end code. Build cross-browser solutions optimized for a wide range of devices. Identify UI problems and bugs and devise elegant solutions. Make strategic technical decisions related to new products and functionalities. Help maintain code quality. Onboard and mentor new team members. A minimum of three years of experience in working on large projects/Enterprise applications including, but not limited to version control tools, automated software testing, automating software build tools Strong knowledge of HTML5, CSS3, JavaScript and modern frontend development frameworks Knowledgeable about UI development concepts like Responsive Design, SPA, Modular Design Working knowledge of Java Experience with Struts 2, JSP Popular JS frameworks like Vue, React, Angular Relational databases such as MySQL, MSSQL, Oracle Rest API implementation Competitive salary Referral bonuses Flexible work schedules Professional development and career growth opportunities Awesome team members Yes"
492,Specialist System Engineer-Oracle Database Administrator,Société Générale,"Bengaluru, Karnataka",,"Own 24* 7 database support; handling incidents, requests, problems & Handle on-call database support during week-ends & out of business hours. Own & deliver various client & infra projects. Plan & deliver various projects around database patching, upgrades & migrations. Management of various tools/scripts being used for databases. Managing Primary DBA roles for multiple applications. Contribution towards automation of recurrent tasks. Ticket reduction through problem management. Manage disaster recovery tests & exercises. Identify & deliver various POCs (Proof of concepts) for latest RDBMS features, open source & new technologies. Work closely with application teams to provide solutions across various requirements & problems. Proactively identify the problems and provide solutions to avoid incidents & application outages. Work with other infra teams to optimize databases performance and reduce incidents probability. Experience in Shell / Perl / Python Scripting Experience supporting Open Source RDBMS (PostgreSQL / MongoDB / MySQL) Oracle DBA Certifications – OCM / OCE / OCP / EXADATA Undergraduate degree (mandatory) Postgraduate degree (preferred) ITIL Foundation / Intermediate Proven working experience as an Oracle Exadata Engineer & DBA. Working knowledge across multiple infrastructure components with strong experience on the database perimeter. Hands-on experience with database standards and end user applications. Excellent knowledge of Oracle RDBMS (all versions) architecture & design. Excellent knowledge of Oracle Engineered (Exadata) Systems. Excellent knowledge of Exadata features like smart scans, HCC, flash cache, InfiniBand, ILOM. Proficient in Patching all Exadata components. Proficient in RMAN Backup & recovery, Security, Data Guard, ASM & RAC. Proficient in troubleshooting & solving complex performance problems. Proficient in Oracle Database Patching, Upgrades & Migrations. Proficient in monitoring & performance analysis through OEM. Proficient in Oracle Golden Gate. Experience in handling Disaster Recovery tests & exercises. Experience in working on a large-scale environment (at least 1000 + databases with bigger sizes). Working experience in banking domain (preferred). Expert knowledge of ITIL processes around Incident, Problem, Change, Quality Management and CSI. Exceptional coordination, communication and interpersonal skills to work across global teams and clients. Demonstrated ability to analyze, diagnose and assess problems; work with global stakeholders to derive tactical and long-term solutions as appropriate. Demonstrated crisis management skills in a large, globally distributed environment. Experience working with or in an automated operations environment Experience managing operations on core & cloud-based infra environments – ‘AaS platform’ experience ideal."
493,Full Stack Developer,Alore,"Bengaluru, Karnataka",,"if you don't feel excited after reading the culture code. if you can't manage tighter deadlines if you can't read books and upgrade your knowledge if you are not passionate about building a great product if you are not passionate about great customer experience if you don't know at least 3 SaaS success stories. if you don't like to be challenged. if you have more than 3 years of experience if you like a 9-5 job and want to have Saturday off : ) Develop, scale, and own significant components of Plash's core platform infrastructure to provide an intuitive end-user experience. Design and create services, system architectures, and data storage schemas for core backend; integrate with the front end. Write code and unit tests, working with API specs and automation. Develop microservices using Java and deploying them on the cloud. Brainstorm and contribute ideas to our product Develop new services and features and provide ongoing support for those features throughout the product lifecycle. Ensure efficiency, quality, and operability of a large-scale distributed system Troubleshoot issues and working with the product team to resolve problems and perform root cause analysis. Working closely with Product Owner (CEO) in researching and prototyping new capabilities that improve the overall user experience. You understand what it takes to scale technology for performance and people Bachelors / Master’s degree in Computer Science, Electrical Engineering Desired Experience: Min 1 yr, Max 3 years as Full Stack Developer Strong in Designing, Core Java programming, Algorithm, Data Structures A strong understanding of and proven background in responsive web development using technologies such as: CSS, and HTML, Angular JS, SpringBoot/ Spring/ Hibernate/ Multithreading / SQL & NoSQL. Experience in Mongo DB advantageous Advanced User Experience development skills in creating dynamic and engaging web components. Hands-on expertise with responsive web application design and development. Responsive on the expectation and needs of clients within the project Completes assigned specific tasks from Detailed Development Plan Resolves technical issues through debugging, research and investigation. Should be a good learner with a positive attitude. Excellent written and oral communication skills. Collaborative work ethics and ability to work in a team-oriented culture. Ability to demonstrate sound judgment and execute against deliverables under deadlines and competing priorities. Highly focused, organized, and detail-oriented. Passionate about creating great Technology products and is always looking for creative & innovative solutions to meet or exceed our business partners’ needs. Strong Technical aptitude with an intense desire to learn new skills and industry trends. Demonstrated experience in Agile development, Application Design, Software Development, and automated testing (Selenium, Junit etc.)."
494,Principal SA - Autonomous Computing,AISPL - Karnataka,"Bengaluru, Karnataka",,"MS in Engineering (or related STEM fields) 7+ years experience working with a few of these technologies: advanced machine learning, probabilistic modeling, optimization, sensor fusion and scalable computing systems. Demonstrated ability to work with multiple technical and stakeholder groups to bring a complete solution to production. Strong track record of publications in peer-reviewed journals, conferences and/or curated blogs. Deep knowledge and extensive experience building and deploying one or more of these technologies in production: Deep learning (e.g. CNN, RNN, LSTM, GAN, etc.), Reinforcement Learning, Accelerated compute (e.g. GPU, FPGA, ASICs, etc.), ML Frameworks (e.g. TensorFlow, PyTorch, etc.), ML engineering (e.g. Containers, Kubernetes, Kubeflow, etc.), Probabilistic Modeling (e.g. Bayesian modeling, Probabilistic Deep Neural Networks, Probabilistic Graphical Models, etc.), Global non-convex optimization (e.g. Genetic Algorithms, Particle Swarm, etc.) and non-linear estimation techniques (e.g. Unscented Kalman Filters, Particle filters, etc.) and time series forecasting. Experience with one or more general purpose programming languages, including but not limited to: Python, Go, C/C++, JavaScript, Java. Solid enterprise communication skills, and business and financial acumen. Strong analytical skills, and demonstrated ability to turn detailed data analysis into useful strategic insight in order to drive customer adoption and make appropriate recommendations to the business. Strong verbal and written communications skills are a must, as well as leadership skills. Demonstrated ability to work effectively across internal and external organizations. Architect advanced solutions leveraging AWS services like EC2, S3, SPOT, and ML related services, working closely with our customers to deeply understand their business needs and to design technical solutions that take advantage of the AWS Cloud platform. Demonstrate the viability of each solution through mechanisms like proof-of-concepts, prototypes and pilots including applied research activities that bring early-stage products to market. Develop best practices documentation, and develop a strong go-to-market technical strategy. Craft and develop compelling audience-specific messages and tools (product videos, customer success stories, advanced demos, white papers, presentations, how to guides, etc.) Evangelize AWS AI architectures and technologies through forums such as AWS Blogs, white papers, reference architectures and public-speaking events such as AWS summit, and user-group events. Collaborate with AWS field sales, professional services, training and support teams to help partners and customers learn and effectively use AWS for AI. Serve as a key member of the business development and account management teams helping to ensure customer and partner success in AI on the AWS platform. Act as a technical liaison between customers, service engineering teams and support teams. Gain recognition and credibility as a regular panelist and keynote speaker for multiple internal and external events. Deliver compelling presentations, product demos, roadmap reviews, sample solutions and discussions to drive adoption of AI on AWS. Identify leads for potential engagement needing pre-sales support. Collaborate with internal teams to define the product road map, market positioning and developer program initiatives Assess training requirements and coordinating with various training teams on scheduling and delivery of training to both internal and external audiences. Ph.D. in Engineering (or related STEM fields) Experience developing, deploying and managing AI products at scale. 10+ years of engineering, development, data science and modeling experience. Demonstrated experience solving end-to-end large-scale problems in aerospace, transportation, energy, manufacturing, telecommunications, genomics, healthcare and/or robotics with proven AI technologies deployed at scale. Experience with cloud computing and distributed computing."
495,Regional Account Manager - GIC,OutSystems,"Bengaluru, Karnataka",,"Uncover and manage new selling opportunities in India within Global Captives Centers and past knowledge on managing Global Captives is must Call on and develop relationships with C-level executives across business and IT units with Global Captives & with Captives HQ location Execute a sales process that validates and qualifies the technical and business requirements of the customer in order to close the business with a strong cross team collaboration with in GEO's Articulate the value proposition and be familiar with ROI and TCO tools at a business level to provide to Business Stakeholders Bachelor’s Degree and at least 8-9 years of experience of direct sales within Global Captives (SAAS/PAAS preferred) Experience using an established enterprise software sales process/forecasting methodology Tenacious, hungry, competitive in nature. Having an RPA with No Code & Low code solution knowledge will be added advantage Accustomed to exceeding revenue targets (top 10-20% of company performers) Strong customer references Travel as needed (25%-40%) Sales DNA - hunting mentality, tenacity Brains, intensity, charm Disrupting the status quo is in our DNA. In fact, it’s why our company exists We ask “why” a lot. It helps us connect our individual work to the bigger picture, and sometimes even uncover a better way Our offices are great places to be but will never be the stuff of future tech mockumentaries. We are much more down-to-earth than that Recognized as a leader in our market by top analyst firms, like Forrester and Gartner Winner of multiple industry awards, including the prestigious CODiE award Loved by customers who have voted us the best low-code software platform (Gartner Peer Reviews, TrustRadius, and G2 Crowd)"
496,Principal Product Manager,Informatica,"Bengaluru, Karnataka",,"Work with R&D organizations driving product requirements and ensuring timely release of products and solutions, managing the complete life cycle of products/modules you are responsible for Lead the market/technology research developing deep understanding of the technology, market and competitors in the cloud space Run and drive product management initiatives which support our partnership and solution initiatives with AWS, Azure, Google, and other strategic & emerging partners Evangelize Informatica products, platforms, and solutions with customers, prospects, partners as well as internal groups such as R&D, product marketing, sales, technical sales and customer support Will have experience and deep technical knowledge of Middleware (PaaS), IaaS, SaaS, and other cloud-based software and platforms Will have a solid working experience with Relational Databases, Cloud and On-premise Data Warehouses, NoSQL databases, and data lakes Will work collaboratively with various cross functional teams within and outside the organization, architecture, engineering, cloud operations, marketing, sales and services Will possess a unique blend of business and technical understanding, a big picture vision and drive to make the vision a reality Will enjoy spending time understanding the market and technology shifts in cloud, understanding customer problems, synthesizing needs and defining innovative solutions Will be comfortable being hands-on in fast moving and rapidly changing technologies and products Will be able to articulate the value proposition/story at varying depths depending upon audience types, Integration Experts, Customers, Partners, Decision Makers, Business, Sales and Industry Analysts Will be cool and calm under pressure Own and prioritize product direction for Cloud Data Warehouse, Cloud Data Lake, and Cloud NoSQL technologies from Cloud providers such as Microsoft Azure, Snowflake etc. Provide thought leadership and evangelism of the Informatica Ecosystems and Connectivity capabilities & requirements internally and externally to partners Participate in Industry Events demonstrating and showcasing Informatica product demos and solutions Manage the entire product/solution life cycle from strategic planning to development to release and go to market strategies Cater to external customer needs and internal teams to define the growth and direction of Informatica Ecosystems and Connectivity Work closely with cross-organization and cross-functional R&D leaders and Product Managers to drive product roadmap and strategy for horizontal technologies to support Informatica Products, Ecosystems and Connectivities Travel (approximately 10-20%) for customer visits, industry conferences, providing thought leadership, support marketing activities, as well as visiting Informatica offices 8+ total years in Product Management, Product Engineering, or Solution Engineering roles Extensive working knowledge and experience with Cloud Data Warehouses (e.g. Azure Synapse, Snowflake, Redshift, Google BigQuery etc.) and Cloud Data Lakes (S3, Azure Blob, Azure Data Lake Storage, Google Cloud Storage etc.) is a must Experience with middleware (application development and integration) products and technologies are a plus – Data Integration, Application Integration, ETL, EAI, Enterprise Service Bus, Service Orchestration, Web and Application Servers, User Interface Ability to contribute to defining a strategic vision and to articulate it in front of a variety of audiences including customers and partners and internal teams Excellent communication and presentation skills (written and oral) in English; well-honed influencing skills are essential Excellent interpersonal skills, proven track record of building strong relationships and establishing credibility with customers, prospects, analysts, sales, R&D, and the management team Proven organizational and product management skills; ability to multi-task and work on several assignments concurrently Self-motivated and team-oriented Bachelor’s degree in Engineering/Computer Science or a related technical discipline or appropriate work-related experience"
497,Senior ASIC Digital Design Engireer,Synopsys,"Bengaluru, Karnataka",,
498,Content Marketing Manager,MoEngage Inc,"Bengaluru, Karnataka",,"You’ll be part of a brilliant, passionate marketing team that’s working on building a strong brand and also contributes to the business outcomes. Work in a dynamic environment that constantly motivates you to think out-of-the-box and push your limits. Leverage your knowledge and experience to further boost MoEngage as a leader and a brand. Also, learn new strategies and skills first-hand, that can help you sharpen your content management skills. A data-driven approach right from the content we produce, to the campaigns we execute. A detailed report on the impact of COVID-19 on mobile businesses The playbook for customer engagement during a crisis Understand our customers in an extremely detailed manner. Their pain points, their use cases, the way they prefer to evaluate and buy software, their likes, interests, and preferences. Write compelling content based on this understanding. Work cross-functionally with teams and key stakeholders to understand our customer’s pain points and generate content ideas and create detailed outlines. Produce compelling marketing content, sales tools to engage and nurture prospects across the funnel. Worked on data-driven/research-oriented/in-depth content that can nurture and move users down the conversion funnel. Rapidly experiment with different content formats, messaging, and themes to optimize for the highest results. Repurpose long-form content to smaller bite-sized content pieces consumable across a host of digital channels. Bachelor's degree in English, Journalism, Marketing, or related communications field. An MBA in marketing is a plus. 5-7 years of experience in content marketing or sales enablement or product marketing. Demonstrated knowledge of marketing principles and the sales funnel/process. Extremely curious, analytical and has maniacal attention to detail Adept at developing in-depth, well-researched content that compels the reader to take action. Understanding of brand, logo, and regulatory compliance, and the ability to liaise with agencies, vendors, and creative/design professionals. Good planning, interpersonal, and communication (verbal and written) skills. Ability to multi-task with multiple deadlines and/or milestone requirements. Strong attention to detail and commitment to quality, including proofreading, copy editing, and maintaining design consistency. Work at Scale and challenge yourself Work with a smart team which grew up in the Mobile First world TT table, poker nights, beer days, team outings. for this"
499,Engineering Manager - Full Stack,upGrad Education Private Limited,"Bengaluru, Karnataka",,"upGrad was awarded the Best Tech for Education by IAMAI for 2018-19 upGrad was also ranked as one of the LinkedIn Top Startups 2018: The 25 most sought-after startups in India upGrad was earlier selected as one of the top ten most innovative companies in India by FastCompany. We were also covered by the Financial Times along with other disruptors in Ed-Tech upGrad is the official education partner for Government of India - Startup India program Our program with IIIT B has been ranked #1 program in the country in the domain of Artificial Intelligence and Machine Learning Collaborate with Product Managers to plan, implement and deliver tasks and modules on a timely basis with best practices and adherence to SOPs. Understand the product requirements, ask questions, and gather information and feedback to design and deliver scalable and flexible systems. Deliver end to end applications from front end web development, back end development, middleware integration and persisting data in no SQL or RDBMS databases. Play the role of an unblocker in a tight scrum environment. Should be able to help other developers with challenges, problem solving, and help achieve milestones as per plan. Build a highly skilled and efficient team by hiring, keeping the team motivated, and managing performance. Build a culture of agile development, continuous improvement, and a strong sense of product ownership Drive a culture of high quality at all stages by leveraging CI/CD and automation. Identify architectural issues and plans to resolve them. Proactively identify risks and define mitigations plans. Prioritize to manage ad-hoc requests in parallel with ongoing projects. Hands on with programming with 25%+ of bandwidth going into coding activities owned. A highly talented developer with 10+ years of hands-on experience in building secure and scalable web based applications using Java in backend and JS based frontend frameworks. Demonstrated experience managing teams of 5-10 or more engineers in product or online teams. Strong knowledge of Java 8+, databases (SQL and NoSQL) , MySql, Mongo, Experience working with Cassandra, Spring Boot, Apache Spark, Kafka, RabbitMQ is highly desirable Working knowledge of any one or more of AngularJS/ReactJS/VueJS and CSS3, HTML5. Strong experience in data modelling for data storage tools in SQL; experience with noSQL is highly desirable. Experience building scalable solutions for 2x, 5x and 10x growth with high quality and flexibility. Practitioner of test driven development practices. Experience in creating and adhering to best practices for development. Experience working with container technologies like Docker and knowledge of CI/CD processes for automated integration and deployment. Basic knowledge of AWS preferred. Strong experience in Microservices (SRP) paradigm. Willing to learn new technologies (Golang)"
500,Business Development Executive,ExoTalent,"Bengaluru, Karnataka","₹20,000 - ₹25,000 a month","Business Development-AI ML(Artificial Intelligence course). Arranging meetings with institutes. Overseeing the training of individuals or groups of People Designing and assessing training programmes Design and create training manuals, online learning modules, and course materials Compiling and presenting information/MIS report of enrolments Supervising and monitoring progress made via training programmes Assess training needs through surveys, interviews with candidates , employees, or consultations with managers or instructors Review training materials and choose appropriate materials Get training delivered to candidates using a variety of techniques ( Practical & Home Assignments ) Monitor and evaluate training programs to ensure they are current and effective Select and assign instructors or vendors to conduct training Perform administrative tasks such as monitoring costs, Payment collection, scheduling classes, setting up systems and equipment, and coordinating enrolment. total work: 1 year (Required) Bachelor's (Required) English (Required) Smartphone (Preferred) Lead Generation (Preferred) Cold Calling (Preferred) Account Management (Preferred)"
501,Client Partner,Michael Page,"Bengaluru, Karnataka",,Apply share this job Email Job Save Job Chance to be part of a multinational AI company Chance to be in a client facing yet solutioning role Analytics Solutioning Client Management and getting the requirement briefs End to end delivery Mentor and lead a team on advanced analytics solutions Responsible to grow the PnL of the vertical Travel to client locations depending on the requirements 13+ years of experience Experience in Healthcare and Insurance Analytics Experience handling client relations
502,Senior Sales Training Manager,Zycus,"Bengaluru, Karnataka",,
503,Senior Manager - .NET Full Stack,Société Générale,"Bengaluru, Karnataka",,
504,Creative Graphic Designer at Bright,BeingUser,"Bengaluru, Karnataka",,"Work as an integral part of the growth team, and actively contribute to designing key assets (creatives, website, blog) which would be a part of customer acquisition. Understand the brief from the stakeholders and transform them into tangible designs. Demonstrate solid conceptual, visualization, and communication skills during all phases of creative development from an idea to delivery. Understand the customer and design persona-based assets. Good analytical skills in marketing management. 3+ years of demonstrated graphic design skills with a strong portfolio Familiarity with design software and technologies (such as Adobe Creative Suite - XD, InDesign, Illustrator, Dreamweaver, Photoshop) Experience in Animation software - Flash/After Effects is preferred A keen eye for aesthetics and details Excellent communication skills Ability to work methodically and meet deadlines Degree in Design, Fine Arts or related field is a plus Degree in Design, Fine Arts or related field. Relevant work experience 2+ years of creative/design/marketing experience in a B2C company High-level proficiency in Adobe Creative Suite. Tools related to Animation is a plus Ability to interact, communicate, and present ideas You will build the cross-functional skills to one day become a Start-up Founder, building your own company. You will build an in-house creative factory driven by data – trained by Tech founders and marketing leaders who have this expertise. You will build a deep end to end understanding of building a customer-focused financial product from scratch."
505,Marketing Manager – SaaS AI Cognitive Technologies,CareerXperts,"Bengaluru, Karnataka",,"Experience in martech and marketing to B2C companies is a plus. You should have in-depth experience with both marketing automation and CRM (we currently use Pardot and Salesforce). You’ve owned and executed large ABM programs successfully. Excellent interpersonal and project management skills; ability to build and manage virtual teams. Excellent negotiating and change management skills. Obsess about improving conversions and engagement. Ability to interface effectively with management team and functional disciplines. Designing marketing campaigns in the key priority areas and taking a lead role in executing direct marketing campaigns across key verticals and market segments as well as leading nurturing programs. Liaison with the product marketing, content marketing, product team to help refine the messaging that will be used across campaigns in order to maximize content consumption (and in turn, leads) Captaining multiple channels at different stages of maturity, each requiring its own plan to deliver lead-gen objectives. Launch and manage our presence across marketing channels Reporting – track, measure and provide weekly reports of progress made, inbound response rates, contribution to pipeline and ROI."
